source,entities,translations
Which US state borders the Pacific Ocean and has a population of wild polar bears?,"['US', 'Pacific Ocean']","['Estados Unidos', 'Océano Pacífico']"
Which country borders the Mediterranean Sea and the Black Sea?,"['Mediterranean Sea', 'Black Sea']","['Mar Mediterráneo', 'Mar Negro']"
Which state is separated into two peninsulas and borders multiple Great Lakes?,['Great Lakes'],['Grandes Lagos (América del Norte)']
Which state has the longest coastline on the Pacific and is also part of the contiguous United States?,"['Pacific', 'United States']","['Océano Pacífico', 'Estados Unidos']"
What country contains the Pyrenees and also speaks French?,"['Pyrenees', 'French']","['Pirineos', 'French']"
What country has two other countries as complete enclaves and is also in Europe?,['Europe'],['Europa']
What mountain chain is in France and Italy?,"['France', 'Italy']","['Francia', 'Italia']"
What river flows through both Austria and Romania?,"['Austria', 'Romania']","['Austria', 'Rumania']"
Which river has no bridges across its entire width and is the world's largest river by discharge volume of water?,[],[]
Which lake is the largest lake in Russia by volume and is located in the former northern territory of the Xiongnu confederation?,"['Russia', 'Xiongnu']","['Rusia', 'Xiongnu']"
"Which city is the largest city in Pakistan by population, where approximately 90% of the multinational corporations operating in Pakistan are headquartered?","['Pakistan', 'Pakistan']","['Pakistán', 'Pakistán']"
What is the Brazilian island that has no human population and is administered by Itanhaem?,"['Brazilian', 'Itanhaem']","['Brazilian', 'Itanhaém']"
"What volcano is located in the province of Batangas, Philippines which last erupted on January 12, 2020?","['Batangas', 'Philippines']","['Provincia de Batangas', 'Filipinas']"
"What city in the Philippines is geographically located within Benguet and is called the ""City of Pines""?","['Philippines', 'Benguet', 'City of Pines']","['Filipinas', 'Benguet', 'Baguió']"
Which lake is part of the Great Lakes and shares the name of a U.S. state?,"['Great Lakes', 'U', 'S', '.']","['Grandes Lagos (América del Norte)', 'U', 'S', '.']"
Which lake is part of the Great Lakes and shares the name of a Canadian province?,"['Great Lakes', 'Canadian']","['Grandes Lagos (América del Norte)', 'Canadienses']"
What U.S. state borders Canada and has the largest land area?,"['U', 'S', 'Canada']","['U', 'S', 'Canadá']"
Which mountain in Alaska is the second highest mountain in the United States?,"['Alaska', 'United States']","['Alaska', 'Estados Unidos']"
What is the second largest state by area in the United States and is home to Guadalupe Peak?,"['United States', 'Guadalupe Peak']","['Estados Unidos', 'Pico Guadalupe']"
What is the smallest state by area in the United States and is home to Jerimoth Hill?,"['United States', 'Jerimoth Hill']","['Estados Unidos', 'Jerimoth Hill']"
What is the third largest state by area in the United States and is home to Mount Whitney?,"['United States', 'Mount Whitney']","['Estados Unidos', 'Monte Whitney']"
What country is a city in Italy and has no sea?,['Italy'],['Italia']
What is the smallest and richest country in the world?,[],[]
What is the most famous desert in the world and the most lethal?,[],[]
What river flows North to South and is the longest river in North America?,['North America'],['América del Norte']
Which continent has had the coldest observed temperature and is the home of the South Pole?,['South Pole'],['Polo sur']
Which U.S. state is in the southeast and has Kay Ivey as its governor?,"['U', 'S', '.', 'Kay Ivey']","['U', 'S', '.', 'Kay Ivey']"
What is the name of the desert in northwestern Senegal that is the smallest in Africa?,"['Senegal', 'Africa']","['Senegal', 'África']"
Which river runs through the U.S. and has its mouth at the Bering Sea?,"['U', 'S', 'Bering Sea']","['U', 'S', 'Mar de Bering']"
"What river runs through Baghdad and is about 1,150 miles long?",['Baghdad'],['Bagdad']
Which country has the most natural lakes and has nine per cent of the entire country covered in fresh water?,[],[]
What is the official language of the most populous country in the world?,[],[]
Who is the current president of the southernmost country in Africa?,['Africa'],['África']
What is the population of the smallest country in Europe?,['Europe'],['Europa']
What is the capital of the country with the biggest population?,[],[]
What is the longest river in the largest country in South America?,['South America'],['América del Sur']
What is the population of the country where the Eiffel Tower is located?,"['Eiffel', 'Tower']","['Eiffel', 'Torre']"
What is the population of the country where the Acropolis is located?,['Acropolis'],['Acrópolis']
How many people live in the capital of Oregon?,['Oregon'],['Oregón']
What is the population of the largest state in the United States?,['United States'],['Estados Unidos']
What is the estimated current population of the state where Mount Rushmore is located as of 2020?,"['Mount Rush', 'more']","['Mount Rush', 'More']"
What is the tallest building in the capital city of New York?,['New York'],['Nueva York (desambiguación)']
What is the name of the tallest building in the capital city of Connecticut?,['Connecticut'],['Connecticut']
What is the estimated population of the country where Mount Whitney is located?,['Mount Whitney'],['Monte Whitney']
What is the estimated population of Europe's most northern capital city?,['Europe'],['Europa']
What is the tallest mountain in the 4th-most populated country in the world?,[],[]
What is the population of the country where The Great Wall of China is located?,"['The Great', 'Wall', 'of China']","['The Great', 'Pared', 'of China']"
What is the tallest building in the country where Mount Rushmore is located?,['Mount Rushmore'],['Monte Rushmore']
What unit of currency is used in the country where the Eiffel Tower is?,"['Eiffel', 'Tower']","['Eiffel', 'Torre']"
How many horns does the national animal of Scotland have?,['Scotland'],['Escocia']
In what country was the inventor of the printing press with movable type born?,[],[]
What is the average rainfall in the world's driest country?,[],[]
"The tallest waterfall in the United States, how tall is it?",['United States'],['Estados Unidos']
What is the capital of the state with the most lakes?,[],[]
What is the capital of the state with the tallest mountain?,[],[]
What is the capital of the country with the largest land size?,[],[]
Which country does the smallest country in the world border?,[],[]
What is the smallest country the Rhine flows through?,['Rhine'],['Rin']
Who is the current ruler of the smallest state in Europe?,['Europe'],['Europa']
What is the capital of the largest country in South America?,['South America'],['América del Sur']
What is the smallest country that is part of the largest continent?,[],[]
What is the capital of the country that has the world's tallest mountain?,[],[]
What is the capital of the country with the largest number of islands?,[],[]
What is the capital of the country where Mount Kilimanjaro is located?,['Mount Kilimanjaro'],['Kilimanjaro']
What is the capital of the country with the fifth largest land area in Europe?,['Europe'],['Europa']
What is the capital of the country where the Colosseum is located?,['Colosseum'],['Coliseo']
What is the capital of the country where the White House is located?,['White House'],['Casa Blanca']
What is the GDP of the 11th state to join the U.S.?,"['U', 'S']","['U', 'S']"
What is the population of the state where the Grand Canyon is located?,['Grand Canyon'],['Gran Cañón']
What is the population of the city where the Colosseum is?,['Colosseum'],['Coliseo']
What is the population of the largest country by size in the world?,[],[]
What is the tallest building in the city known as the Second City and the Windy City?,"['Second City', 'Windy City']","['Second City', 'Windy City']"
What is the capital of the state where Mount Rushmore is?,['Mount Rushmore'],['Monte Rushmore']
What is the capital of the least populous state in the United States?,['United States'],['Estados Unidos']
What is the population in the capital city of Canada?,['Canada'],['Canadá']
What is the number population of the capital city of Spain?,['Spain'],['España']
What is the largest park in the capital city of the UK?,['UK'],['Reino Unido']
What is the capital of the state that had the last volcanic eruption in the United States?,['United States'],['Estados Unidos']
What is the tallest building in the capital city of Mexico?,['Mexico'],['México']
What is the tallest building in the capital city of Germany?,['Germany'],['Alemania']
What is the tallest building in the capital city of Greece?,['Greece'],['Grecia']
What is the population of the state where Mount Hood is located?,['Mount Hood'],['Monte Hood']
What is the capital of the state through which much of the Chesapeake Bay flows?,['Chesapeake Bay'],['Bahía de Chesapeake']
What is the population of the state that the Grand Canyon is located in?,['Grand Canyon'],['Gran Cañón']
What is the name of the city where the tallest building in the world is located?,[],[]
What is the largest city by population located in the world's smallest continent?,[],[]
What is the state with the tallest mountain in the United States?,['United States'],['Estados Unidos']
What is the tallest building in the capital of New York?,['New York'],['Nueva York (desambiguación)']
What is the population of the U.S. state where Los Angeles is located?,"['U', 'S', 'Los Angeles']","['U', 'S', 'Los Ángeles']"
What is the population of the U.S. state where the Grand Canyon is located?,"['U', 'S', 'Grand Canyon']","['U', 'S', 'Gran Cañón']"
What is the tallest building in the city known as the Big Apple?,"['Big', 'Apple']","['Big (desambiguación)', 'Manzana']"
What is the population of the state where the Adirondack Mountains are?,['Adirondack Mountains'],['Montañas Adirondack']
What is the capital of the country that is home to Mount Vesuvius?,"['Mount Ves', 'vius']","['Mount Ves', 'vius']"
What is the tallest building in the capital of Russia?,['Russia'],['Rusia']
"What is the second largest island (in area, i.e. square miles) of Hawaii?",['Hawaii'],['Hawái']
"What is the third largest country (in area, i.e. square miles) in South America?",['South America'],['América del Sur']
What is the 4th longest river in North America?,['North America'],['América del Norte']
What is the name of the fourth largest country in the world?,[],[]
What is the name of the third longest river in the world?,[],[]
What is the first tallest mountain in North America?,['North America'],['América del Norte']
What is the first largest lake in North America?,['North America'],['América del Norte']
What is the third largest of the Great Lakes by volume?,"['Great', 'Lakes']","['Great', 'Lago']"
What is the biggest capital by population of Africa?,['Africa'],['África']
What is the first longest river in the world?,[],[]
What is the fourth longest river in the world?,[],[]
What is the fifth longest river in the world?,[],[]
What is the second longest river in Europe?,['Europe'],['Europa']
What is the third tallest mountain in Mexico?,['Mexico'],['México']
What is the deepest lake in Russia?,['Russia'],['Rusia']
What is the third longest river in Europe?,['Europe'],['Europa']
What is the second tallest volcano in the world?,[],[]
What is the second lowest point on Earth?,['Earth'],['Tierra']
Which is the second largest country in the world?,[],[]
Which is the third deepest ocean?,[],[]
Which is the fourth widest river in the world?,[],[]
Which is the third largest lake in the world?,[],[]
What is the seventh longest river in the world?,[],[]
What day was the last volcanic eruption on the island of Hawaii?,['Hawaii'],['Hawái']
What is the first deepest river in the world?,[],[]
What is the third tallest mountain in Africa?,['Africa'],['África']
Which country is the first hottest place on Earth?,['Earth'],['Tierra']
What is the fourth largest city in the United States?,['United States'],['Estados Unidos']
What is the second largest volcano in the world?,[],[]
What is the first deepest lake in the world?,[],[]
What is the second largest state in the United States?,['United States'],['Estados Unidos']
What is the third largest mountain in the United States?,['United States'],['Estados Unidos']
What is the third largest lake in the United States?,['United States'],['Estados Unidos']
What is the 3rd longest river in the USA?,['USA'],['Estados Unidos']
What is the 5th longest river in the USA?,['USA'],['Estados Unidos']
What is the 7th longest river in the USA?,['USA'],['Estados Unidos']
What is the second biggest state in the United States?,['United States'],['Estados Unidos']
What is the fourth largest country in Europe?,['Europe'],['Europa']
What is the second most populous country in Africa?,['Africa'],['África']
What is the first tallest mountain in the world?,[],[]
What is the second tallest mountain in the United States?,['United States'],['Estados Unidos']
When was the last eruption of Mt. St. Helens?,"['Mt', '. St. Helens']","['Mt', '. St. Helens']"
What is the 2nd tallest mountain in the United States?,['United States'],['Estados Unidos']
What is the second longest river in Brazil?,['Brazil'],['Brasil']
When was the last eruption of Popocatépetl?,['Popocatépetl'],['Popocatépetl']
When was the last eruption of Mount Fuji?,['Mount Fuji'],['Monte Fuji']
What is the longest river in the world?,[],[]
What is the fifth largest lake in Europe?,['Europe'],['Europa']
When was the last eruption of Mount Baker?,['Mount Baker'],['Monte Baker (Estados Unidos)']
What is the third largest island in the world?,[],[]
What is the fifth smallest country in Africa?,['Africa'],['África']
What is the second largest ocean in the world?,[],[]
What is the fourth largest island in the world?,[],[]
What is the fifth largest inhabited island in the world?,[],[]
What is the second largest mountain in Africa?,['Africa'],['África']
What is the second largest state in America?,['America'],['Estados Unidos']
What is the third smallest country in Africa?,['Africa'],['África']
What is the second tallest mountain in Japan?,['Japan'],['Japón']
What is the fifth longest bridge in the world?,[],[]
What is the lowest point in the continental United States?,['United States'],['Estados Unidos']
What is the highest peak in Iceland?,['Iceland'],['Islandia']
What is the fifth tallest mountain in Africa?,['Africa'],['África']
What is the sixth tallest mountain in Africa?,['Africa'],['África']
What is the second longest river in Africa?,['Africa'],['África']
What is the third largest country in the world by population?,[],[]
What is the fifth smallest country in the world by land mass?,[],[]
When was the last time Mount St. Helens erupted?,['Mount St. Helens'],['Monte Santa Helena']
What is the 2nd highest peak in the Rocky Mountain Range?,['Rocky Mountain Range'],['Montañas Rocosas']
What is the 2nd lowest place below sea level in the United States?,['United States'],['Estados Unidos']
What is the second largest desert in the world?,[],[]
"In terms of size, what is the second largest ocean in the world?",[],[]
What is the longest underwater tunnel in Denmark?,['Denmark'],['Dinamarca']
What is the longest river in Mexico?,['Mexico'],['México']
What is the longest river in Brazil?,['Brazil'],['Brasil']
What is the largest country in the world?,[],[]
What is the largest lake in Canada?,['Canada'],['Canadá']
What is the largest lake in Germany?,['Germany'],['Alemania']
What is the tallest active volcano in Hawaii?,['Hawaii'],['Hawái']
What is the highest mountain in Scotland?,['Scotland'],['Escocia']
What is the longest river in England?,['England'],['Inglaterra']
What is the largest city in England by population?,['England'],['Inglaterra']
Which country has the longest coastline?,[],[]
What is the largest Asian city by population?,['Asian'],['Asian']
What is the largest city in Oceania by population?,['Oceania'],['Oceanía']
What is the tallest mountain in Africa?,['Africa'],['África']
What is the oldest continuously inhabited city in the world?,[],[]
What is the tallest mountain on earth (not just above sea level)?,[],[]
Which continent has the least amount of volcanoes?,[],[]
Which country has the most amount of rainforest?,[],[]
What is the largest city in Russia by population?,['Russia'],['Rusia']
What is the tallest tree in the world?,[],[]
What is the longest ocean in the world?,[],[]
What is the deepest river in the world?,[],[]
Which is the tallest mountain in the world?,[],[]
Which is the biggest desert in Africa?,['Africa'],['África']
The biggest waterfall in the world?,[],[]
What is the smallest country in the world?,[],[]
What is the largest island in the world?,[],[]
What is the tallest mountain in Canada?,['Canada'],['Canadá']
What is the tallest mountain in the world?,[],[]
What is the largest city in Canada by population?,['Canada'],['Canadá']
What is the largest city in Ireland by population?,['Ireland'],['Irlanda (isla)']
What is the largest salt lake in the United States?,['United States'],['Estados Unidos']
What is the biggest canyon in the United States?,['United States'],['Estados Unidos']
What is the smallest of the Great Lakes in the United States?,"['Great Lakes', 'United States']","['Grandes Lagos (América del Norte)', 'Estados Unidos']"
What's the smallest country by area?,[],[]
Which city in Pennsylvania has the biggest population?,['Pennsylvania'],['Pensilvania']
What is the largest country in Africa by population?,['Africa'],['África']
What is the smallest U.S. state by land area?,"['U', 'S']","['U', 'S']"
Which continent has the fewest countries?,[],[]
What is the largest forest in the world?,[],[]
Where have the most meteorites been found in the world?,[],[]
What is the largest gold mine in the world?,[],[]
The most populated city in the world is?,[],[]
What is the largest recorded temperature change in one place over a 24-hour period?,[],[]
What is the smallest state by land mass in the U.S.?,"['U', 'S']","['U', 'S']"
What is the largest city in Africa by population?,['Africa'],['África']
What is the deepest lake in the US?,['US'],['Estados Unidos']
What is the deepest river in the U.S.?,"['U', 'S']","['U', 'S']"
Which is the tallest volcano in the world?,[],[]
Which country has the most people in the world?,[],[]
Which is the wealthiest country in the world?,[],[]
Which is the poorest country in the world?,[],[]
What is the shortest river in the world?,[],[]
What is the largest city in the United States by population in 2021?,['United States'],['Estados Unidos']
What is the largest city in the world by population in 2021?,[],[]
What is the largest city in Korea by population?,['Korea'],['Corea']
What is the deepest river in the USA?,['USA'],['Estados Unidos']
What is the tallest mountain in the USA?,['USA'],['Estados Unidos']
What is the deepest lake in the USA?,['USA'],['Estados Unidos']
What's the tallest mountain in Africa?,['Africa'],['África']
What is the smallest country in the world by land mass?,[],[]
What is the tallest sand dune in the world?,[],[]
What is the largest country in the world by total area?,[],[]
What is the deepest point on Earth?,['Earth'],['Tierra']
What is the tallest waterfall on Earth?,['Earth'],['Tierra']
What is the most populous country in Africa?,['Africa'],['África']
What is the tallest mountain in New York?,['New York'],['Nueva York (desambiguación)']
What is the tallest mountain in New Jersey?,['New Jersey'],['Nueva Jersey']
What is the tallest mountain in Pennsylvania?,['Pennsylvania'],['Pensilvania']
What is the largest city in Oregon by population?,['Oregon'],['Oregón']
What is the largest city in New York by population?,['New York'],['Nueva York (desambiguación)']
What is the largest canyon in the United States in depth?,['United States'],['Estados Unidos']
What is the largest desert in the United States in square miles?,['United States'],['Estados Unidos']
"Which city that has a population of at least 100,000 people has the northernmost latitude?",[],[]
What's the largest city in Canada by population?,['Canada'],['Canadá']
What's the largest island in the Pacific Ocean by area in square miles?,['Pacific Ocean'],['Océano Pacífico']
Which two countries have the longest land border?,[],[]
What is the largest city in Egypt by population according to the UN 2018 population estimates?,"['Egypt', 'UN']","['Egipto', 'Organización de las Naciones Unidas']"
What is the largest country in Africa by land mass?,['Africa'],['África']
What is the deepest canyon in Europe?,['Europe'],['Europa']
What is the longest road in the world?,[],[]
What is the tallest waterfall in Japan?,['Japan'],['Japón']
What is the smallest state in the U.S. by size?,"['U', 'S']","['U', 'S']"
What is the largest state in the U.S. by size?,"['U', 'S']","['U', 'S']"
What is the rainiest US city?,['US'],['Estados Unidos']
What is the hottest city in the U.S. during the summer?,"['U', 'S']","['U', 'S']"
Is the Atlantic Ocean larger than the Pacific Ocean?,"['Atlantic Ocean', 'Pacific Ocean']","['Océano Atlántico', 'Océano Pacífico']"
Does Italy have a higher average elevation than Greece?,"['Italy', 'Greece']","['Italia', 'Grecia']"
Is the Eiffel Tower located in Italy?,"['Eiffel Tower', 'Italy']","['Torre Eiffel', 'Italia']"
"Is Washington, D.C. the capital of the United States?","['Washington, D', 'C.', 'United States']","['Washington, D', 'C.', 'Estados Unidos']"
"Is Washington, D.C. located in the state of Washington?","['Washington, D', 'C', 'Washington']","['Washington, D', 'C', 'Washington']"
Is Puerto Rico a U.S. state?,"['Puerto Rico', 'U', 'S']","['Puerto Rico', 'U', 'S']"
Is Jackson the capital of Mississippi?,"['Jackson', 'Mississippi']","['Jackson', 'Misisipi']"
Does Hawaii have eight islands in total?,['Hawaii'],['Hawái']
Does Antarctica have the largest desert in the world?,['Antarctica'],['Antártida']
Is Merdeka 118 the tallest building in Saudi Arabia?,"['Merdeka 118', 'Saudi Arabia']","['Merdeka 118', 'Arabia Saudita']"
Is Ping An International Finance Centre the tallest building in Japan?,"['Ping An International Finance Centre', 'Japan']","['Ping An Finance Center', 'Japón']"
Is Copenhagen the capital of Denmark?,"['Copenhagen', 'Denmark']","['Copenhague', 'Dinamarca']"
Is Alaska the 48th state to join the United States?,"['Alaska', 'United States']","['Alaska', 'Estados Unidos']"
Is Brazil the owner of Antarctica?,"['Brazil', 'Antarctica']","['Brasil', 'Antártida']"
Is Mount Saint Helens in Oregon?,"['Mount Saint Helens', 'Oregon']","['Monte Santa Helena', 'Oregón']"
Is Mount Vesuvius in Italy?,"['Mount Ves', 'vius', 'Italy']","['Mount Ves', 'vius', 'Italia']"
Is London the capital of England?,"['London', 'England']","['Londres', 'Inglaterra']"
Is Iceland the largest country in the world?,['Iceland'],['Islandia']
Are there any mountain ranges in the United States?,['United States'],['Estados Unidos']
Is Rome the capital of Italy?,"['Rome', 'Italy']","['Roma', 'Italia']"
Is the Yellow River the longest river in Asia?,"['Yellow River', 'Asia']","['Río Amarillo', 'Asia']"
"Is Damascus, Syria the oldest capital city in Asia?","['Damascus', 'Syria', 'Asia']","['Damasco', 'Siria', 'Asia']"
Is Toronto the capital of Canada?,"['Toronto', 'Canada']","['Toronto', 'Canadá']"
Is New York the capital of the United States?,"['New York', 'United States']","['Nueva York (desambiguación)', 'Estados Unidos']"
Is Athens the capital of the state of Georgia?,"['Athens', 'Georgia']","['Atenas', 'Georgia (desambiguación)']"
Is Puerto Rico bigger than Hawaii?,"['Puerto Rico', 'Hawaii']","['Puerto Rico', 'Hawái']"
Is Florida west of Los Angeles?,"['Florida', 'Los Angeles']","['Florida', 'Los Ángeles']"
"Does the Philippines consist of more than 7,000 islands?",['Philippines'],['Filipinas']
Is Damascus the oldest continuously inhabited city in the world?,['Damascus'],['Damasco']
"Is Los Angeles, CA located WEST of Reno, Nevada?","['Los Angeles', 'CA', 'Reno', 'Nevada']","['Los Ángeles', 'CA', 'Reno (Nevada)', 'Nevada']"
Does Germany border 9 other countries?,['Germany'],['Alemania']
Is Kyoto the capital of Japan?,"['Kyoto', 'Japan']","['Kioto', 'Japón']"
Is Houston the most diverse city in the United States?,"['Houston', 'United States']","['Houston', 'Estados Unidos']"
Is the Eiffel Tower in Spain?,"['Eiff', 'el Tower', 'Spain']","['Eiff', 'el Tower', 'España']"
Is Peru a South American country?,"['Peru', 'South American']","['Perú', 'América del Sur']"
Are there active volcanoes in Hawaii?,['Hawaii'],['Hawái']
Is Beijing the capital of the United States?,"['Beijing', 'United States']","['Pekín', 'Estados Unidos']"
Is the United States comprised of 12 states?,['United States'],['Estados Unidos']
Is the Mississippi River located in the United States?,"['Mississippi River', 'United States']","['Río Misisipi', 'Estados Unidos']"
Is the Missouri River the longest river in the United States?,"['Missouri River', 'United States']","['Río Misuri', 'Estados Unidos']"
Is Athens the capital city of Greece?,"['Athens', 'Greece']","['Atenas', 'Grecia']"
Is the Pacific Ocean the deepest and largest ocean in the world?,['Pacific Ocean'],['Océano Pacífico']
"Is Richmond, Virginia the capital of the United States in 2021?","['Richmond', 'Virginia', 'United States']","['Richmond', 'Virginia', 'Estados Unidos']"
Is Tokyo the capital of China?,"['Tokyo', 'China']","['Tokio', 'República Popular China']"
Is New York the capital city of the United States?,"['New York', 'United States']","['Nueva York (desambiguación)', 'Estados Unidos']"
Is Toronto the capital city of Canada?,"['Toronto', 'Canada']","['Toronto', 'Canadá']"
Is Lake Superior the largest of the 5 Great Lakes in North America?,"['Lake Superior', '5 Great', 'Lakes', 'North America']","['Lago Superior', '5 Great', 'Lago', 'América del Norte']"
Is Mt. Everest the tallest mountain in the world?,"['Mt', 'Everest']","['Mt', 'Monte Everest']"
"Does the Seine River flow through Paris, France?","['Seine River', 'Paris', 'France']","['Río Sena', 'París', 'Francia']"
Is Mt. St. Helens located in Oregon?,"['Mt. St. Helens', 'Oregon']","['Monte Santa Helena', 'Oregón']"
Is Tokyo the capital of Japan?,"['Tokyo', 'Japan']","['Tokio', 'Japón']"
Is Naples the capital of Italy?,"['Naples', 'Italy']","['Nápoles', 'Italia']"
Is Moscow the capital of Russia?,"['Moscow', 'Russia']","['Moscú', 'Rusia']"
Does Hawaii have 137 islands?,['Hawaii'],['Hawái']
Is the Pacific Ocean the deepest ocean in the world?,['Pacific Ocean'],['Océano Pacífico']
Is Mount Saint Helen the most active volcano in the US?,"['Mount Saint Helen', 'US']","['Mount Saint Helen', 'Estados Unidos']"
Is there an active volcano in Russia?,['Russia'],['Rusia']
Is Portland the capital of Oregon?,"['Portland', 'Oregon']","['Portland (desambiguación)', 'Oregón']"
Does the United States have a bigger population than any other country?,['United States'],['Estados Unidos']
Is Russia a communist country still?,['Russia'],['Rusia']
Is Cardiff the capital of Wales?,"['Cardiff', 'Wales']","['Cardiff', 'Gales']"
Is the Danube River the longest river in Europe?,"['Danube River', 'Europe']","['Danubio', 'Europa']"
Is Mont Blanc the highest mountain in France?,"['Mont Blanc', 'France']","['Mont Blanc', 'Francia']"
Is New York City the capital of the USA?,"['New York City', 'USA']","['Nueva York', 'Estados Unidos']"
Is Chicago the capital of the USA?,"['Chicago', 'USA']","['Chicago', 'Estados Unidos']"
Is Stockholm the capital of Denmark?,"['Stockholm', 'Denmark']","['Estocolmo', 'Dinamarca']"
Is Mount Everest the highest in the world?,"['Mount', 'Everest']","['Mount (desambiguación)', 'Monte Everest']"
Is Africa the continent with the most countries?,['Africa'],['África']
Does Canada have the most northern point of any country?,['Canada'],['Canadá']
Does New York have a river?,['New York'],['Nueva York (desambiguación)']
Does New York have mountain ranges?,['New York'],['Nueva York (desambiguación)']
Is Austin the capitol of New Mexico?,"['Austin', 'New Mexico']","['Austin (desambiguación)', 'Nuevo México']"
Is there a Royal Palace in the United States?,"['Palace', 'United States']","['Palacio', 'Estados Unidos']"
Is Guadalajara the capital of Mexico?,"['Guadalajara', 'Mexico']","['Guadalajara (México)', 'México']"
Is there an active volcano in Mexico?,['Mexico'],['México']
Is Lisbon on the Atlantic coast of Portugal?,"['Lisbon', 'Atlantic', 'Portugal']","['Lisboa', 'Océano Atlántico', 'Portugal']"
Do all the Great Lakes touch both Canada and the USA?,"['Great Lakes', 'Canada', 'USA']","['Grandes Lagos (América del Norte)', 'Canadá', 'Estados Unidos']"
Does Italy share a border with France?,"['Italy', 'France']","['Italia', 'Francia']"
Is Egypt in Asia?,"['Egypt', 'Asia']","['Egipto', 'Asia']"
"Which state has more electoral votes, South Carolina or Tennessee?","['South Carolina', 'Tennessee']","['Carolina del Sur', 'Tennessee']"
"In 2016, did Kentucky or West Virginia have more votes for Donald Trump?","['Kentucky', 'West Virginia', 'Donald Trump']","['Kentucky', 'Virginia Occidental', 'Donald Trump']"
Did Colorado or South Dakota have a lower voter turnout?,"['Colorado', 'South Dakota']","['Colorado', 'Dakota del Sur']"
Is the Democratic Party older than 100 years old?,['Democratic Party'],['Partido Demócrata']
Is the Republican Party older than 150 years old?,['Republican Party'],['Republican Party']
Who was United States president after Jimmy Carter?,"['United States', 'Jimmy Carter']","['Estados Unidos', 'Jimmy Carter']"
"Which state has more electoral votes, New York or Pennsylvania?","['New York', 'Pennsylvania']","['Nueva York (desambiguación)', 'Pensilvania']"
Does Arizona have more electoral votes than Illinois?,"['Arizona', 'Illinois']","['Arizona', 'Illinois']"
"Which state has more electoral votes, Hawaii or Illinois?","['Hawaii', 'Illinois']","['Hawái', 'Illinois']"
Which state has more US representatives Pennsylvania or Ohio?,"['US', 'Pennsylvania', 'Ohio']","['Estados Unidos', 'Pensilvania', 'Ohio']"
"What are there more of, US presidents or US States?","['US', 'US States']","['Estados Unidos', 'Estado de los Estados Unidos']"
"Which state has less Congressional Districts, Missouri or Illinois?","['Districts', 'Missouri', 'Illinois']","['Distrito', 'Misuri', 'Illinois']"
"Which state has more electoral votes, Ohio or Oregon?","['Ohio', 'Oregon']","['Ohio', 'Oregón']"
"Which state has more electoral votes, Florida or Pennsylvania?","['Florida', 'Pennsylvania']","['Florida', 'Pensilvania']"
"Which state has more liberal voters, California or Oregon?","['California', 'Oregon']","['California', 'Oregón']"
"Who had a female leader first, United Kingdom or India?","['United Kingdom', 'India']","['Reino Unido', 'India']"
Did Stalin die before the end of the Korean War?,"['Stalin', 'Korean War']","['Iósif Stalin', 'Guerra de Corea']"
"Which state has more electoral votes, Alabama or Mississippi?","['Alabama', 'Mississippi']","['Alabama', 'Misisipi']"
"Which state has more electoral votes, South Carolina or North Carolina?","['South Carolina', 'North Carolina']","['Carolina del Sur', 'Carolina del Norte']"
Did the United States of America ever have a female vice president before 2021?,['United States of America'],['Estados Unidos']
"What official is third in line in the US presidential order of succession, president pro tempore of the Senate or Secretary of State?","['US', 'Senate']","['Estados Unidos', 'Senado']"
"Which state has more electoral votes, North Carolina or Virginia?","['North Carolina', 'Virginia']","['Carolina del Norte', 'Virginia']"
How many United States Representatives does New Mexico have?,"['United States', 'New Mexico']","['Estados Unidos', 'Nuevo México']"
How many former NFL players have been elected to the US House of Representatives?,"['NFL', 'US House of Representatives']","['National Football League', 'Cámara de Representantes de los Estados Unidos']"
How many US presidents were elected as members of the Whig Party?,"['US', 'Whig Party']","['Estados Unidos', 'Whig Party']"
How many Republican mayors has New York City had since 1974?,"['Republican', 'New York City']","['Republicano', 'Nueva York']"
How many people have ever served for more than 45 years in the US Senate?,['US Senate'],['Senado de los Estados Unidos']
How many presidents were never married?,[],[]
How many actors have been elected to president of the US?,['US'],['Estados Unidos']
How many pilots have been elected to president of the US?,['US'],['Estados Unidos']
How many land surveyors have been elected to president of the US?,['US'],['Estados Unidos']
How many planters have been elected to president of the US?,['US'],['Estados Unidos']
How many ordained ministers have been elected to president of the US?,['US'],['Estados Unidos']
How many Muslims have been elected to the US Congress?,"['Muslims', 'US Congress']","['Musulmán', 'Congreso de los Estados Unidos']"
How many black US senators have there been?,['US'],['Estados Unidos']
How many actors have become US presidents?,['US'],['Estados Unidos']
How many one term presidents have there been since World War II?,['World War II'],['Segunda Guerra Mundial']
How many United States presidents have been Catholic?,"['United States', 'Catholic']","['Estados Unidos', 'Iglesia católica']"
How many United States presidents have James as a first name?,"['United States', 'James']","['Estados Unidos', 'James']"
How many Republican governors has New York had since 1950?,"['Republican', 'New York']","['Republicano', 'Nueva York (desambiguación)']"
How many US presidents were involved in the Vietnam war?,"['US', 'Vietnam']","['Estados Unidos', 'Vietnam']"
How many Republican governors has North Carolina had since 1973?,"['Republican', 'North Carolina']","['Republicano', 'Carolina del Norte']"
How many Republican governors has North Carolina had since 1897?,"['Republican', 'North Carolina']","['Republicano', 'Carolina del Norte']"
